Country,Social Benefits for Refugees,Type of Support,One-time Payment,Free Food,Free Transport,Access to Healthcare,Access to Education,Housing Provided,Employment Assistance,Childcare Support
Austria,Monthly allowances for living and food,Full,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Belgium,Financial aid and access to social services,Full,No,No,No,Yes,Yes,Yes,Yes,Yes
Bulgaria,Limited financial support and access to basic services,Restricted,No,No,No,Yes,Yes,No,No,No
Croatia,Monthly allowances and access to social services,Full,No,No,No,Yes,Yes,Yes,Yes,Yes
Cyprus,Limited financial support and housing,Restricted,No,No,No,Yes,Yes,No,No,No
Czechia,Humanitarian aid and access to social services,Full,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Denmark,Monthly allowances and access to social services,Full,No,No,No,Yes,Yes,No,No,No
Estonia,Limited financial support and housing,Restricted,No,No,No,Yes,Yes,No,No,No
Finland,Monthly allowances and access to social services,Full,No,No,No,Yes,Yes,Yes,Yes,Yes
France,Financial aid and access to social services,Full,No,No,No,Yes,Yes,Yes,Yes,Yes
Germany,Monthly allowances and access to social services,Full,No,No,No,Yes,Yes,Yes,Yes,Yes
Greece,Limited financial support and housing,Restricted,No,No,No,Yes,Yes,No,No,No
Hungary,Limited financial support and housing,Restricted,No,No,No,Yes,Yes,No,No,No
Ireland,Monthly allowances and access to social services,Full,No,No,No,Yes,Yes,Yes,Yes,Yes
Italy,Financial aid and access to social services,Full,No,No,No,Yes,Yes,Yes,Yes,Yes
Latvia,Limited financial support and housing,Restricted,No,No,No,Yes,Yes,No,No,No
Lithuania,Limited financial support and housing,Restricted,No,No,No,Yes,Yes,No,No,No
Luxembourg,Monthly allowances and access to social services,Full,No,No,No,Yes,Yes,Yes,Yes,Yes
Malta,Limited financial support and housing,Restricted,No,No,No,Yes,Yes,No,No,No
Netherlands,Monthly allowances and access to social services,Full,No,No,No,Yes,Yes,Yes,Yes,Yes
Poland,One-time payment and access to social services,Full,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Portugal,Financial aid and access to social services,Full,No,No,No,Yes,Yes,Yes,Yes,Yes
Romania,Limited financial support and housing,Restricted,No,No,No,Yes,Yes,No,No,No
Slovakia,Limited financial support and housing,Restricted,No,No,No,Yes,Yes,No,No,No
Slovenia,Limited financial support and housing,Restricted,No,No,No,Yes,Yes,No,No,No
Spain,Financial aid and access to social services,Full,No,No,No,Yes,Yes,Yes,Yes,Yes
Sweden,Monthly allowances and access to social services,Full,No,No,No,Yes,Yes,Yes,Yes,Yes
