Rank,Country,Cost of Living Index
1,Switzerland,123.3
2,Norway,100.9
3,Iceland,94.9
4,Jersey,92.0
5,Denmark,84.1
6,Guernsey,83.6
7,Luxembourg,80.5
8,Ireland,76.1
9,Netherlands,75.7
10,France,74.1
11,Finland,73.2
12,Belgium,72.6
13,Sweden,71.7
14,Austria,71.0
15,United Kingdom,69.7
16,Malta,67.8
17,Italy,66.5
18,Germany,65.6
19,Greece,56.2
20,Slovenia,53.9
21,Spain,53.9
22,Estonia,53.7
23,Croatia,48.9
24,Latvia,48.5
25,Czechia,48.2
26,Portugal,47.9
27,Lithuania,45.6
28,Slovakia,44.7
29,Hungary,40.7
30,Poland,39.0
31,Montenegro,38.9
32,Bulgaria,38.4
33,Serbia,36.2
34,Bosnia and Herzegovina,36.1
35,Albania,35.5
36,Russia,35.3
37,Romania,35.2
38,North Macedonia,31.4
39,Belarus,30.9
40,Ukraine,30.7
41,Moldova,30.3
42,Kosovo (Disputed Territory),27.1
43,Cyprus,54.7
