Country,Data Date,Refugees from Ukraine recorded in country as of date,"Refugees from Ukraine who applied for Asylum, TP or similar national protection schemes to date",Border crossings from Ukraine since 24 February 2022,Border crossings to Ukraine since 24 February 2022
Bulgaria,30/09/2024,67540,198575,Not applicable,Not applicable
Czechia,06/10/2024,380375,623285,Not applicable,Not applicable
Estonia,31/10/2024,36535,63265,Not applicable,Not applicable
Hungary,10/11/2024,61610,47495,5884005,5324805
Latvia,11/11/2024,47285,61480,Not applicable,Not applicable
Lithuania,04/11/2024,47395,91195,Not applicable,Not applicable
Poland,10/10/2024,981335,1866605,25172870,23203715
Republic of Moldova,29/09/2024,123730,63465,1186845,968360
Romania,01/10/2024,172570,183975,5539905,4804675
Slovakia,17/11/2024,128615,157910,2800555,2727850
Albania,31/05/2024,8930,35,Not applicable,Not applicable
Armenia,17/07/2023,605,605,Not applicable,Not applicable
Austria,31/10/2024,84620,122975,Not applicable,Not applicable
Azerbaijan,01/10/2024,4655,195,Not applicable,Not applicable
Belgium,30/09/2024,85465,90165,Not applicable,Not applicable
Bosnia and Herzegovina,31/10/2024,265,265,Not applicable,Not applicable
Croatia,31/10/2024,27130,28525,Not applicable,Not applicable
Cyprus,30/09/2024,18740,23425,Not applicable,Not applicable
Denmark,27/10/2024,37825,57670,Not applicable,Not applicable
Finland,31/10/2024,68620,76625,Not applicable,Not applicable
France,30/09/2024,64840,111220,Not applicable,Not applicable
Georgia,30/08/2024,28640,1625,Not applicable,Not applicable
Germany,02/11/2024,1222695,1147875,Not applicable,Not applicable
Greece,30/09/2024,32315,32570,Not applicable,Not applicable
Iceland,30/09/2024,3950,4790,Not applicable,Not applicable
Ireland,29/09/2024,110960,110960,Not applicable,Not applicable
Italy,30/09/2024,173870,200605,Not applicable,Not applicable
Liechtenstein,06/11/2024,675,1085,Not applicable,Not applicable
Luxembourg,18/10/2024,3855,7160,Not applicable,Not applicable
Malta,30/09/2024,2565,3010,Not applicable,Not applicable
Montenegro,31/08/2024,21245,12155,Not applicable,Not applicable
Netherlands,30/09/2024,120100,163495,Not applicable,Not applicable
North Macedonia,30/04/2024,19305,425,Not applicable,Not applicable
Norway,31/10/2024,77005,88610,Not applicable,Not applicable
Portugal,30/09/2024,64125,71615,Not applicable,Not applicable
Serbia,31/10/2024,10400,3345,Not applicable,Not applicable
Slovenia,01/11/2024,12670,12230,Not applicable,Not applicable
Spain,31/10/2024,216955,226500,Not applicable,Not applicable
Sweden,30/10/2024,26655,74105,Not applicable,Not applicable
Switzerland,07/11/2024,67650,111485,Not applicable,Not applicable
Türkiye,14/11/2024,36235,2930,Not applicable,Not applicable
United Kingdom,12/11/2024,251835,1435,Not applicable,Not applicable
